,Unnamed: 0,composition,mp-id,target
470,470,Mg0.75Al2Ni0.25O4,,8.3
471,471,Mg0.8Al2Co0.2O4,,8.5
473,473,Mg1Al0.8Ga1.2O4,,8.9
474,474,Mg2.05Si1O4,,7.5
475,475,Mg2Si,150956.cif,20.0
478,478,Al0.9Ga0.1As1,,12.0
479,479,LaBO3,mp-8216.cif,12.5
480,480,Li2Ti4Zn3O12,,19.22
481,481,Ti0.5Nb1Cu0.5O4,,71.2
482,482,NaAl2SiClO5,,4.52
483,483,Ce0.01Mg1.025Ti1O3,,17.4
485,485,Ti0.3Sn0.7,,10.87
486,486,Ti0.4Sn0.6,,12.156000000000002
487,487,Ba4V2O9,,11.44
489,489,Mg4V2O9,,7.114285714285714
490,490,V2Zn4O9,mp-28331.cif,18.16
491,491,Ba3V2O8,mp-19365.cif,11.95
493,493,Ca3V2O8,mp-1182001.cif,8.73
494,494,Mg3V2O8,mvc-11986.cif,9.76923076923077
495,495,V2Zn3O8,mp-17545.cif,16.17
497,497,Li2MoO4,mp-18050.cif,5.5
498,498,K2Mo3O10,mp-540788.cif,5.599999999999999
500,500,Li2Ca2(MoO4)3,,8.5
501,501,Li3Al(MoO4)3,,9.5
503,503,BaBiS5,,3.826
504,504,Li2NiGe3O8,mp-21650.cif,8.6
505,505,Li2CoGe3O8,mp-769597.cif,9.0
506,506,ZrAl2O5,,3.1
507,507,Pr1Mn0.2,,2.73
508,508,Pr1Mn0.4,,2.7290000000000005
509,509,Pr1Mn0.6,,2.7290000000000005
510,510,PrMn,,2.7305
512,512,BaMoO4,mp-19276.cif,9.0
513,513,Eu0.1Fe1Bi0.9O3,,57.4
515,515,Sm0.075Fe1Bi0.925O3,,51.0
516,516,La0.1Fe1Bi0.9O3,,70.3
520,520,CI3Cl4,,2.77
524,524,LiCa3MgV3O12,,10.5
526,526,LiCa3V3ZnO12,,11.5
527,527,Ca5V6Zn4O24,,11.7
529,529,NaMg4V3O12,mp-541220.cif,11.015
530,530,LiMg4V3O12,mp-559155.cif,10.7
532,532,FeS2,15012.cif,10.9
534,534,Sc0.41Al0.59N1,,16.0
536,536,Te4PbSe45,,5.864545454545455
537,537,ZnGeN2,mp-2979.cif,10.61
539,539,Ti0.75Nb2.2Zn0.9Sn0.05O8,,35.05
540,540,TaTiNbZnO8,,36.3
542,542,Rb2Ba0.6Sr0.4Ti1O3,,663.29
544,544,Si3(BiO3)4,mp-23331.cif,15.28
546,546,Er0.1Si3Bi3.9O12,,15.56
547,547,Gd0.1Si3Bi3.9O12,,15.5
550,550,Pr0.1Si3Bi3.9O12,,15.02
555,555,TiNb2CoO8,,63.40428571428571
556,556,TiNb2ZnO8,mp-1216787.cif,34.46999999999999
558,558,Mn0.05Fe2Co0.03Ni0.92O4,,1750.0
562,562,BaTi4Zn2O11,,30.0
563,563,BaTi5O11,mp-27790.cif,38.120000000000005
564,564,BaLi2Ti6O14,mp-558083.cif,31.7
567,567,Ag2Te,mp-32811.cif,18.77857142857143
568,568,Ba1Sm2Co0.015Cu0.985O5,,15.5
570,570,LaTi3Fe(CuO4)3,,44.0
571,571,CaCu3(GeO3)4,mp-17599.cif,34.0
572,572,Al0.1Ga0.9N1,,9.4
573,573,Al0.38Ga0.62N1,,9.12
575,575,Zr1Nb2Zn0.96Ni0.04O8,,27.100000000000005
576,576,Zr1Mn0.1Nb2Zn0.9O8,,29.43
579,579,LiNb3,,22.666666666666668
580,580,CuCSN,mp-553972.cif,10.0
585,585,CaLa10SiB,,2.5411
586,586,CaLa15SiB,,2.6513
588,588,CaLa25SiB,,2.7363
589,589,CaLa30SiB,,2.7334
590,590,Nd4Mg3Al44O75,,15.0
591,591,MgNb2(CuO4)2,,15.9
593,593,MnZn(WO4)2,,13.699999999999998
596,596,Na0.5Ti1Ag1Bi0.5O3,,5000.0
598,598,Ti3Ag(BiO3)4,,1400.0
599,599,SrNb2AgBi2O9,,300.0
604,604,ZnCdS,,9.3
605,605,Ce1O1.96,,23.0
606,606,Ba1Mg0.5W0.5O3,,18.9
608,608,PC11S,,7.77
609,609,PC12S,,7.77
610,610,PC13S,,8.91
611,611,Ba0.98Ti0.96Mn0.04Zn0.02O3,,2405.0
613,613,Ba0.98Ti0.92Mn0.08Zn0.02O3,,2019.0
614,614,Li3Ca0.1Mg1.9Nb1O6,,15.62
615,615,Li3Mg1.9Nb1Ni0.1O6,,15.24
616,616,Li3Mg1.9Nb1Zn0.1O6,,15.39
617,617,Li3Mg1.9Mn0.1Nb1O6,,12.97
618,618,Al0.343In0.031Ga0.625N1,,4.21
619,619,Al0.468In0.031Ga0.5N1,,4.08
620,620,Al0.593In0.031Ga0.25N1,,4.02
621,621,Mg2V2O7,mp-554767.cif,10.5
622,622,Ba0.5Nb2O6,,400.0
624,624,HgSe,mp-1018722.cif,23.26
625,625,HCF3,,5.23
627,627,Sm0.5Bi30B70,,3.64
628,628,Sm0.5Bi40B60,,4.08
630,630,Sm(Bi3B2)20,,4.88
632,632,Zr0.4Ti0.6Pb1O3,,455.3525
634,634,UO2,mp-1597.cif,19.76909090909091
636,636,B9Pb5,,3.685000000000001
637,637,B4Pb3,,3.775
639,639,B3Pb4,,3.65
640,640,MgZrNb2O8,,21.62
641,641,ZrNb2CoO8,,20.274
642,642,ZrMnNb2O8,,25.036
643,643,Ba0.1Sr0.9Nb0.5Fe0.5O3,,2.59
644,644,Ba0.2Sr0.8Nb0.5Fe0.5O3,,2.1950000000000003
646,646,Ba1Ti0.4Nb0.3Fe0.3O3,,5.5
649,649,Si3N,,7.5
651,651,Li1.075Ti0.45Nb0.625O3,,65.0
652,652,Ba3Ti4Nb4O21,,65.0
657,657,La9Mg0.5Ti8.5O31,,44.4
660,660,Zr1Nb2Zn0.95Ni0.05O8,,29.02225
661,661,Mg0.05Zr1Nb2Zn0.95O8,,29.051
662,662,Zr1Nb2Zn0.95Co0.05O8,,29.621
663,663,Zr1Mn0.05Nb2Zn0.95O8,,29.812
664,664,Zn0.8Fe2Ni0.2O4,,7.474
666,666,Zn0.4Fe2Co0.4Ni0.2O4,,5.691
671,671,HC4O,,17.8
672,672,HC5O,,13.9
673,673,HC6O,,13.3
676,676,TbAlZnBiB,,2.822
678,678,Tb2AlZnBiB,,2.807
680,680,Tb3AlZnBiB,,2.479
681,681,La0.02Zr0.75Ti0.05Sn0.2Pb0.97O3,,112.14285714285714
684,684,La0.02Zr0.75Ti0.07Sn0.18Pb0.97O3,,77.14285714285714
688,688,Er5AlZnBiB,,2.808
689,689,Er10AlZnBiB,,2.797
691,691,Li2Mg0.94Ti3Zn0.06O8,,27.100000000000005
692,692,Li2Mg0.94Ti3Co0.06O8,,26.600000000000005
693,693,Li2Mg0.94Ti3Mn0.06O8,,25.8
694,694,MnZnSe,,8.9
695,695,MnCdTe,mp-1232389.cif,10.4
696,696,MnCdSe,,9.56
697,697,MnCdS,,9.8
700,700,Zn(GaO2)2,mp-5794.cif,13.72
701,701,TiZn2O4,mp-1101018.cif,22.575
702,702,Ca1Si0.9Sn0.1O3,,8.165
703,703,Ca1Si0.6Sn0.4O3,,9.065
705,705,Nd0.2Fe1.8Co1O4,,65.22
709,709,Gd0.2Fe1.8Co1O4,,95.59999999999998
710,710,Li2Ti3ZnO8,mp-1222642.cif,24.88310344827586
714,714,La0.995Mg0.5Sn0.5B0.005O3,,19.8
716,716,Si1H0.01N1.25,,6.0
717,717,BaCe2(MoO4)4,,12.300000000000002
719,719,CaCe2(MoO4)4,,11.4
721,721,SiHCO,,2.491333333333333
723,723,CaMg(SiO3)2,mp-562517.cif,8.026666666666666
724,724,Na2Zn5(MoO4)6,,8.1
725,725,CaAl2O4,172781.cif,8.9
727,727,CeAlO3,mp-3408.cif,20.7
728,728,PrAlO3,mp-8218.cif,23.2
731,731,TbAlO3,mp-4434.cif,18.0
732,732,HoAlO3,mp-4891.cif,17.0
734,734,YbAlO3,mp-1188667.cif,15.6
735,735,LuAlO3,mp-755358.cif,15.199999999999998
