composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li6.3 Si0.3 P0.7 S5 I1,0.000356778,-3.447601933,0.24559639,LSPSI_X030.cif,25,10.1021/acs.chemmater.9b01857
Li6.4 Si0.4 P0.6 S5 I1,0.00063831,-3.194968352,0.222838088,LSPSI_X040.cif,25,10.1021/acs.chemmater.9b01857
Li6.5 Si0.5 P0.5 S5 I1,0.001015141,-2.993473631,0.229922299,LSPSI_X050.cif,25,10.1021/acs.chemmater.9b01857
Li6.6 Si0.6 P0.4 S5 I1,0.001169938,-2.931837153,0.2271622,LSPSI_X060.cif,25,10.1021/acs.chemmater.9b01857
Li6.7 Si0.7 P0.3 S5 I1,0.001515458,-2.819456095,0.214102177,LSPSI_X070.cif,25,10.1021/acs.chemmater.9b01857
Li6.8 Si0.8 P0.2 S5 I1,0.000538162,-3.269086971,0.238783805,LSPSI_X080.cif,25,Saneyuki Ohno
LiGa(SeO3)2,0.00011,-3.958607315,0.17,mp-1198930.cif,27,DOI: 10.1038/s41563-022-01222-4
Li6 P1 Se5 I1,0.000449892,-3.346891729,0.28794504,Se_Sn000.cif,25,10.1021/acs.inorgchem.1c02813
Li6.1 Sn0.1 P0.9 Se5 I1,0.00081627,-3.088166165,0.287471941,Se_Sn010.cif,25,10.1021/acs.inorgchem.1c02813
Li6.2 Sn0.1 P0.8 Se5 I1,0.001180162,-2.928058373,0.286604242,Se_Sn020.cif,25,10.1021/acs.inorgchem.1c02813
Li6.3 Sn0.1 P0.7 Se5 I1,0.002325978,-2.633394397,0.272185233,Se_Sn030.cif,25,10.1021/acs.inorgchem.1c02813
Li6.4 Sn0.1 P0.6 Se5 I1,0.001691889,-2.771628133,0.257620809,Se_Sn040.cif,25,10.1021/acs.inorgchem.1c02813
Li2Sc0.667Cl4,1.50E-03,-2.823908741,0.33,,30,https://doi.org/10.1039/D0EE01017K
Li0.388Ta0.238La0.475Cl,0.00302,-2.519993057,0.197,,30,https://doi.org/10.1038/s41586-023-05899-8
Li6.8 As0.2 Si0.8 S5 I1,1.04E-02,-1.982966661,0.2,,25,https://doi.org/10.1038/s41467-023-39686-w
Li3Y(Br3Cl3),0.0072,-2.142667504,0.25,,25,https://pubs.acs.org/doi/10.1021/acsenergylett.0c01690.
Li2 Zr1 Cl5.5 F0.5,2.10E-04,-3.677780705,0.272,,25,https://doi.org/10.1021/acsami.3c03513
Li2.4 Zr0.6 Lu0.4 Cl6,1.40E-04,-3.853871964,0.35,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li6 P Se5 Br,0.005,-2.301029996,0.35,,25,https://doi.org/10.1021/acs.chemmater.3c00658
Li5.85  P Se4.85 Br1.15,0.0085,-2.070581074,0.35,,25,https://doi.org/10.1021/acs.chemmater.3c00658
Li5.80  P Se4.8 Br1.2,0.0055,-2.259637311,0.36,,25,https://doi.org/10.1021/acs.chemmater.3c00658
Li5.95 P Se4.95 Br1.05,0.0072,-2.142667504,0.37,,25,https://doi.org/10.1021/acs.chemmater.3c00658
Li2.4Ho1.2Cl6,0.0008,-3.096910013,0.39,,25,https://doi.org/10.1002/aenm.202103921
Li3YBr5.7F0.3,1.80E-04,-3.744727495,0.39,,25,https://doi.org/10.1002/aenm.202101915
Li5.9 P Se4.9 Br1.1,0.007,-2.15490196,0.39,,25,https://doi.org/10.1021/acs.chemmater.3c00658
Li2.73Ho1.09Cl6,0.0013,-2.886056648,0.395,,25,https://doi.org/10.1002/aenm.202103921
Li1.5Ho1.5Cl6,0.00011,-3.958607315,0.4,,25,https://doi.org/10.1002/aenm.202103921
Li3 Ho1 Cl6,1.10E-03,-2.958607315,0.45,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li6 As1 S5 I1,3.92E-06,-5.406713933,0.56,,25,https://doi.org/10.1038/s41467-023-39686-w
Li3 Lu1 Cl6,1.20E-04,-3.920818754,0.6,,25,https://doi.org/10.1021/acsenergylett.3c00763
LiNbCl6,1.22E-02,-1.913925046,0.154,,20,https://doi.org/10.21203/rs.3.rs-3072105/v1
Li10 Ge1 P2 S11.7 O0.3,0.0115,-1.93930216,0.155,,25,https://doi.org/10.1039/D2EE03499A
Li2B12H12(Li2B10H10)5(LiBH4)6,1.00E-04,-4,0.16,,25,https://doi.org/10.1021/acsaem.3c00411
Li29Zr9Nb3O40,4.27E-05,-4.369572125,0.16,,25,https://doi-org.libproxy.mit.edu/10.1007/s10854-022-09343-x
LiTaCl5O0.5,8.78E-03,-2.056505484,0.161,,20,https://doi.org/10.21203/rs.3.rs-3072105/v1
LiTaCl6,1.02E-02,-1.990124366,0.164,,20,https://doi.org/10.21203/rs.3.rs-3072105/v1
LiNbCl5F,4.83E-03,-2.316052869,0.166,,20,https://doi.org/10.21203/rs.3.rs-3072105/v1
LiNbCl5O0.5,1.18E-02,-1.929962133,0.17,,20,https://doi.org/10.21203/rs.3.rs-3072105/v1
Li0.84 Sn0.79 S2,0.00012,-3.920818754,0.17,,25,https://doi.org/10.1039/D2EE03499A
Li0.8 Sn0.8 S2,0.00012,-3.920818754,0.17,,25,https://doi.org/10.1039/D2EE03499A
LiTaCl5F,3.37E-03,-2.472370099,0.173,,20,https://doi.org/10.21203/rs.3.rs-3072105/v1
Li3 Ho1 Br2.5 I3.5,2.00E-03,-2.698970004,0.18,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li0.6 P1.4 S3.8,0.017,-1.769551079,0.18,,25,https://doi.org/10.1039/D2EE03499A
Li1.04Ta1.96Te0.04PO8,4.50E-04,-3.346787486,0.193,,25,https://doi.org/10.1016/j.ceramint.2022.09.163
Li10 Si1 P2 S12,0.0023,-2.638272164,0.196,,25,https://doi.org/10.1039/D2EE03499A
Li3.25 Ge0.25 P0.75 S4,0.0022,-2.657577319,0.207,,25,https://doi.org/10.1039/D2EE03499A
Li3 Ho1 Br3.1 I2.9,2.70E-03,-2.568636236,0.21,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li3 Ho1 Br2.3 I3.7,1.20E-03,-2.920818754,0.21,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li3.83 Sn0.83 As0.17 S4,0.00139,-2.8569852,0.21,,25,https://doi.org/10.1039/D2EE03499A
Li1.335 B0.33 P0.335 H1.32 S1.34,0.00113,-2.946921557,0.21,,25,https://doi.org/10.1039/D2EE03499A
Li3 Ho1 Br4.7 I1.3,2.50E-03,-2.602059991,0.215,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li3 Ho1 Br1.8 I4.2,6.00E-04,-3.22184875,0.215,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li7 Mn0.1 P2.9 S10.7 I0.3,0.0056,-2.251811973,0.22,,25,https://doi.org/10.1039/D2EE03499A
Li7 Ge1 P1 S8,0.007,-2.15490196,0.22,,25,https://doi.org/10.1039/D2EE03499A
Li3.3 Ge0.3 P0.7 S4,0.00176,-2.754487332,0.221,,25,https://doi.org/10.1039/D2EE03499A
Li6 Ge0.52 P0.48 S5 I1,0.00183,-2.73754891,0.23,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 P0.6 S1.5 O0.7,0.00071,-3.148741651,0.23,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 P0.6 S1.5 O0.7,0.00167,-2.777283529,0.23,,25,https://doi.org/10.1039/D2EE03499A
LiTaOCl4,0.0124,-1.906578315,0.23,,25,https://doi.org/10.1002/anie.202217581
Li1.1 B0.9 S1.9,8.19E-05,-4.086716098,0.23,,25,https://doi.org/10.1039/D2EE03499A
Li3.35 Ge0.35 P0.65 S4,0.00154,-2.812479279,0.23,,25,https://doi.org/10.1039/D2EE03499A
Li9.42 Si1.02 P2.1 S9.96 O2.04,0.00011,-3.958607315,0.238,,25,https://doi.org/10.1039/D2EE03499A
Li9.54 Si1.74 P1.44 S11.7 Cl0.3,0.0253,-1.596879479,0.238,,25,https://doi.org/10.1039/D2EE03499A
Li6 Ge0.36 P0.64 S5 I1,0.000658,-3.181774106,0.24,,25,https://doi.org/10.1039/D2EE03499A
Li6 Ge0.47 P0.53 S5 I1,0.00152,-2.818156412,0.24,,25,https://doi.org/10.1039/D2EE03499A
Li6 Ge0.69 P0.31 S5 I1,0.00516,-2.287350298,0.24,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)1.1TaCl5,0.0054,-2.26760624,0.24,,25,https://doi.org/10.1038/s41467-023-39197-8
LiNbOCl4,0.0104,-1.982966661,0.24,,25,https://doi.org/10.1002/anie.202217581
Li6.6Si0.6Sb0.4S5I ,1.48E-02,-1.829738285,0.24,,25,10.1021/jacs.9b08357
Li7 Mo0.01 P2.9 S10.85,0.0048,-2.318758763,0.24,,25,https://doi.org/10.1039/D2EE03499A
Li9.54(Si0.6Ge0.4)1.74P1.44S11.1Br0.3O0.6,3.20E-02,-1.494850022,0.24,,25,DOI: 10.1126/science.add7138
Li10 Sn0.5 Ge0.5 P2 S12,0.00617,-2.209714836,0.249,,25,https://doi.org/10.1039/D2EE03499A
Li3 Ho1 I6,1.20E-04,-3.920818754,0.25,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li6 Ge0.79 P0.21 S5 I1,0.00541,-2.266802735,0.25,,25,https://doi.org/10.1039/D2EE03499A
Li6.3Ge0.3Sb0.7S5I ,2.77E-03,-2.557520231,0.25,,25,10.1021/jacs.9b08357
Li6.375 La3 Zr1.375 Nb0.625 O12,0.00137,-2.863279433,0.25,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Sc0.2 Ti1.8 P3 O12,0.00251,-2.600326279,0.25,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Sc0.1 Ti1.7 Al0.2 P3 O12,0.000972,-3.012333735,0.25,,25,https://doi.org/10.1039/D2EE03499A
Li1.475 B0.05 P0.475 H0.2 S1.9,0.000398,-3.400116928,0.25,,25,https://doi.org/10.1039/D2EE03499A
Li10 Si0.05 Ge0.95 P2 S12,0.00863,-2.063989204,0.251,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.2 Ge0.8 P2 S12,0.00706,-2.151195299,0.252,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.05 Ge0.95 P2 S12,0.0078,-2.107905397,0.254,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.3 Ge0.7 P2 S12,0.00649,-2.187755303,0.254,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.1 Ge0.9 P2 S12,0.00753,-2.123205024,0.256,,25,https://doi.org/10.1039/D2EE03499A
Li9.6 P3 S12,0.0012,-2.920818754,0.259,,25,https://doi.org/10.1039/D2EE03499A
Li2.6 Yb0.6 Hf0.4 Cl6,1.50E-03,-2.823908741,0.26,,30,https://doi.org/10.1016/j.cej.2021.130630
Li3 Cl1 O1,0.00085,-3.070581074,0.26,,25,https://doi.org/10.1039/D2EE03499A
Li3 Ho1 Br0.8 I5.2,2.30E-04,-3.638272164,0.26,,20,https://doi.org/10.1021/acs.chemmater.2c00024
Li6.24 La3 Zr2 Al0.24 O11.98,0.0004,-3.397940009,0.26,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Sc0.2 Ti1.7 Al0.1 P3 O12,0.000429,-3.367542708,0.26,,25,https://doi.org/10.1039/D2EE03499A
Sr0.4375 Li0.375 Zr0.25 Nb0.75 O3,2.00E-05,-4.698970004,0.26,,25,https://doi.org/10.1039/D2EE03499A
Sr0.4375 Li0.375 Zr0.25 Ta0.75 O3,0.0002,-3.698970004,0.26,,25,https://doi.org/10.1039/D2EE03499A
Li10 Si0.1 Ge0.9 P2 S12,0.00807,-2.093126465,0.26,,25,https://doi.org/10.1039/D2EE03499A
Li11 Al1 P2 S12,0.000802,-3.095825632,0.26,,25,https://doi.org/10.1039/D2EE03499A
Li1.445 B0.11 P0.445 H0.44 S1.78,0.000618,-3.209011525,0.26,,25,https://doi.org/10.1039/D2EE03499A
Li10 Si0.2 Ge0.8 P2 S12,0.00728,-2.137868621,0.261,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.7 Ge0.3 P2 S12,0.00556,-2.254925208,0.261,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)1.2TaCl5,0.0063,-2.200659451,0.264,,25,https://doi.org/10.1038/s41467-023-39197-8
Li0.5 La0.5 Ti0.992 Ge0.008 O3,0.00113,-2.946921557,0.265,,25,https://doi.org/10.1039/D2EE03499A
Li10 Si0.3 Ge0.7 P2 S12,0.00582,-2.235077015,0.265,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.6 Ge0.4 P2 S12,0.00576,-2.239577517,0.265,,25,https://doi.org/10.1039/D2EE03499A
Li2 Zr1 Cl5.75 F0.25,2.60E-04,-3.585026652,0.266,,25,https://doi.org/10.1021/acsami.3c03513
Li10 Si0.8 Ge0.2 P2 S12,0.00481,-2.317854924,0.269,,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.8 Ge0.2 P2 S12,0.00477,-2.321481621,0.269,,25,https://doi.org/10.1039/D2EE03499A
Li1.255 B0.495 S1.245 I0.25,0.00061,-3.214670165,0.27,,25,https://doi.org/10.1039/D2EE03499A
Li6.15 La3 Zr1.75 Ta0.25 Ga0.2 O12,0.00041,-3.387216143,0.27,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Ti1.8 Ge0.2 P3 O12,7.94E-05,-4.100179498,0.27,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.55 Ti0.9 W0.1 O3,0.00044,-3.356547324,0.27,,25,https://doi.org/10.1039/D2EE03499A
Li3.825 Sn0.825 As0.175 S4,0.000518,-3.28567024,0.27,,25,https://doi.org/10.1039/D2EE03499A
Li3.2 Ge0.2 P0.8 S4,0.000555,-3.255707017,0.27,,25,https://doi.org/10.1039/D2EE03499A
Li3.45 Si0.45 P0.55 S4,0.00673,-2.171984936,0.27,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)1.8TaCl5,0.0063,-2.200659451,0.271,,25,https://doi.org/10.1038/s41467-023-39197-8
Li6.9 Si0.9 P0.1 S5 I1,0.000675845,-3.170152895,0.273058609,,25,Saneyuki Ohno
Li2 Zr1 Cl5.3 F0.7,1.60E-04,-3.795880017,0.274,,25,https://doi.org/10.1021/acsami.3c03513
(Li2O)1.4TaCl5,0.006,-2.22184875,0.277,,25,https://doi.org/10.1038/s41467-023-39197-8
Li1.5 Ti2 P3 O12 F0.5,0.000232,-3.634512015,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li1.12 Si0.24 S0.84 I0.4,0.00178,-2.749579998,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li1.12 Si0.24 S0.84 I0.4,0.0018,-2.744727495,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li1.289 B0.561 S1.411 I0.15,0.000492,-3.308034897,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li1.306 B0.594 S1.494 I0.1,0.000481,-3.317854924,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li6.05 La3 Zr2 Ga0.25 O11.8 F0.2,0.00128,-2.89279003,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Sc0.3 Ti1.7 P3 O12,0.000791,-3.101823517,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.55 Ti0.95 Ru0.05 O3,5.20E-05,-4.283996656,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.55 Ti0.995 Al0.005 O3,0.0011,-2.958607315,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li10 Si0.4 Ge0.6 P2 S12,0.00524,-2.280668713,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li10.05 Ge1.05 P1.95 S12,0.0122,-1.913640169,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li3.4 Ge0.4 P0.6 S4,0.000654,-3.184422252,0.28,,25,https://doi.org/10.1039/D2EE03499A
Li46.2 Bi20.6 P36 S144,2.80E-06,-5.552841969,0.28,,20,https://doi.org/10.1021/acs.inorgchem.3c01028
Li2 Zr1 Cl5 F1,1.00E-04,-4,0.283,,25,https://doi.org/10.1021/acsami.3c03513
Li10 Si0.5 Ge0.5 P2 S12,0.0042,-2.37675071,0.284,,25,https://doi.org/10.1039/D2EE03499A
Li2 Zr1 Cl4.8 F1.2,8.40E-05,-4.075720714,0.285,,25,https://doi.org/10.1021/acsami.3c03513
Li6.5 Sn0.1 P0.5 Se5 I1,0.000883219,-3.053931597,0.287620655,,25,10.1021/acs.inorgchem.1c02813
Li2.75 Yb0.75 Hf0.25 Cl6,1.10E-03,-2.958607315,0.29,,30,https://doi.org/10.1016/j.cej.2021.130630
Li3HoBr6,1.25E-03,-2.903089987,0.29,,20,https://doi.org/10.1002/smtd.202101002
Li1.11 Si0.22 S0.77 I0.45,0.00141,-2.850780887,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.14 Si0.28 S0.98 I0.3,0.00115,-2.93930216,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.323 B0.627 S1.577 I0.05,0.000437,-3.359518563,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.3276 B0.4524 S1.2324 I0.22,0.000656,-3.183096161,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.3675 B0.5075 S1.3825 I0.125,0.000627,-3.202732459,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.75ZrCl4.75O0.5,0.00242,-2.616184634,0.29,,25,https://doi.org/10.1038/s41467-023-39522-1
Li6.3Si0.3Sb0.7S5I ,1.03E-03,-2.987162775,0.29,,25,10.1021/jacs.9b08357
Li1.1 Ti1.9 P2.9 O11.6,5.52E-05,-4.258060922,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti0.6 Al0.4 P3 O12,0.0033,-2.48148606,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Ti1.5 Cr0.5 P3 O12,0.000198,-3.70333481,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.54 Ti1 O3,0.00089,-3.050609993,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.55 Ti0.95 Ge0.05 O3,0.00036,-3.443697499,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.55 Ti0.95 Mn0.05 O3,0.00019,-3.721246399,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.58 Mg0.05 Ti0.95 O3,0.00021,-3.677780705,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 Ti1.4 P2.4 O9.6,0.000245,-3.610833916,0.29,,25,https://doi.org/10.1039/D2EE03499A
Ba0.3 Li9.4 Ge1 P2 S12,0.000707,-3.150580586,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li10 Si0.5 Sn0.5 P2 S12,0.00428,-2.368556231,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li3.4 Si0.4 P0.6 S4,0.000649,-3.187755303,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li3.84 Sn0.84 As0.16 S4,0.000585,-3.232844134,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Si0.4 S0.8,0.00119,-2.924453039,0.29,,25,https://doi.org/10.1039/D2EE03499A
Li45 Bi21 P36 S144,1.60E-06,-5.795880017,0.29,,20,https://doi.org/10.1021/acs.inorgchem.3c01028
Li0.5 La0.5 Ti0.94 Sn0.06 O3,0.000352,-3.453457337,0.294,,25,https://doi.org/10.1039/D2EE03499A
Li42 Bi22 P36 S144,8.50E-07,-6.070581074,0.295,,20,https://doi.org/10.1021/acs.inorgchem.3c01028
Li2.9In0.9Zr0.1Cl,1.54E-03,-2.812479279,0.296,,20,https://doi.org/10.1021/acsami.1c13295
Li2.7 Yb0.7 Zr0.3 Cl6,1.10E-03,-2.958607315,0.3,,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li6 Ge0.26 P0.74 S5 I1,0.000151,-3.821023053,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1 Si0.21 P0.18 S1.17 I0.4,0.0017,-2.769551079,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1 Si0.45 S1.35 Br0.1,0.00019,-3.721246399,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.04 B0.52 S1.08 I0.44,0.00157,-2.804100348,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.16 Si0.32 S1.12 I0.2,0.00077,-3.113509275,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Si0.6 S1.2 N0.4,0.000274,-3.562249437,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.46 B0.46 S1.38 I0.08,0.000383,-3.416801226,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li6.1 La3 Zr2 Ga0.25 O12,7.00E-05,-4.15490196,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li6.15 La3 Zr1.75 Ta0.25 Al0.2 O12,0.00037,-3.431798276,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li6.4 La3 Zr2 Ga0.2 O12,0.0009,-3.045757491,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li6.55 La3 Zr2 Ga0.15 O12,0.0013,-2.886056648,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li6.75 La3 Zr1.75 Nb0.25 O12,0.000771,-3.112945622,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Sc0.1 Ti1.9 P3 O12,0.000389,-3.410050399,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Ti1.8 P2.8 O11.2,0.000254,-3.595166283,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti1.6 Al0.4 P3 O12,0.00338,-2.4710833,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti1.6 P2.6 O10.4,0.000297,-3.527243551,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Si0.45 S0.9,0.000653,-3.185086819,0.3,,25,https://doi.org/10.1039/D2EE03499A
Li1.26 Si0.37 S0.74,0.00105,-2.978810701,0.3,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)1.9TaCl5,0.0051,-2.292429824,0.302,,25,https://doi.org/10.1038/s41467-023-39197-8
Li2.6 Yb0.6 Zr0.4 Cl6,1.10E-03,-2.958607315,0.31,,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li2.5 Yb0.5 Zr0.5 Cl6,1.10E-03,-2.958607315,0.31,,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li1.01 Si0.38 S1.14 Br0.25,0.00024,-3.619788758,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.14 Si0.28 S0.98 I0.3,0.0018,-2.744727495,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.18 Si0.36 S1.26 I0.1,0.00065,-3.187086643,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.399 B0.551 S1.501 I0.05,0.000372,-3.42945706,0.31,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)TaCl5,0.00042,-3.37675071,0.31,,25,https://doi.org/10.1038/s41467-023-39197-8
Li3InCl4.8F1.2,5.10E-04,-3.292429824,0.31,,25,https://doi.org/10.1002/aenm.202100836
Li6.62 La3 Zr1.62 Nb0.38 O12,0.000441,-3.355561411,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.05 Ti0.95 Al0.05 P3 O12,0.0011,-2.958607315,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Ti0.8 Cr0.2 P3 O12,0.00043,-3.366531544,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti0.7 Fe0.3 P3 O12,0.0023,-2.638272164,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Sc0.4 Ti1.6 P3 O12,0.000199,-3.701146924,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li2 Ti1 P2 O8,2.73E-05,-4.563837353,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li3.85 Sn0.85 As0.15 S4,0.000208,-3.681936665,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 P0.8 S2.6,0.00015,-3.823908741,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li1.34 B0.66 S1.66,0.000226,-3.645891561,0.31,,25,https://doi.org/10.1039/D2EE03499A
Li9 P3 S9 O3,4.27E-05,-4.369572125,0.311,,25,https://doi.org/10.1039/D2EE03499A
Li0.39 La0.54 Ti1 O3,0.00108,-2.966576245,0.316,,25,https://doi.org/10.1039/D2EE03499A
Li2.556Yb0.492Zr0.492Cl6,7.90E-03,-2.102372909,0.317,,25,https://doi.org/10.1016/j.nanoen.2021.106674
Li6.5 La3 Zr1.5 Nb0.5 O12,0.000298,-3.525783736,0.319,,25,https://doi.org/10.1039/D2EE03499A
Li6.88 La3 Zr1.88 Nb0.12 O12,0.000599,-3.222573178,0.319,,25,https://doi.org/10.1039/D2EE03499A
Li2.8 Yb0.8 Zr0.2 Cl6,1.10E-03,-2.958607315,0.32,,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li3TiCl6,1.04E-03,-2.982966661,0.32,,25,https://doi.org/10.1038/s41467-023-37122-7
Li1.2244 B0.4356 S1.0956 I0.34,0.000522,-3.282329497,0.32,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)1.6HfCl4,0.0012,-2.920818754,0.32,,25,https://doi.org/10.1038/s41467-023-39197-8
Li5.4PS4.4Cl1.6 ,2.37E-02,-1.625251654,0.32,,28,https://doi.org/10.1039/D3CC01387A
Li1.1 Ti0.9 Al0.1 P3 O12,0.00067,-3.173925197,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Ti0.9 Cr0.1 P3 O12,0.00026,-3.585026652,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Ti0.8 Fe0.2 P3 O12,0.0014,-2.853871964,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Ti1.8 In0.2 P3 O12,8.22E-05,-4.085128182,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti0.7 Cr0.3 P3 O12,0.00029,-3.537602002,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Sc0.5 Ti1.5 P3 O12,9.74E-05,-4.011441043,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li0.35 La0.52 Ti1 O2.96,0.000911,-3.040481623,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1 Si0.5 S1.5,0.0001,-4,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Ge0.4 S1.4,9.20E-05,-4.036212173,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li1.42 B0.58 S1.58,0.000271,-3.567030709,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li2 Si1 S2,0.000336,-3.473660723,0.32,,25,https://doi.org/10.1039/D2EE03499A
Li40.5 Bi22.5 P36 S144,2.40E-07,-6.619788758,0.32,,20,https://doi.org/10.1021/acs.inorgchem.3c01028
(Li2O)1.8HfCl4,0.00063,-3.200659451,0.323,,25,https://doi.org/10.1038/s41467-023-39197-8
(Li2O)1.5HfCl4,0.00197,-2.705533774,0.328,,25,https://doi.org/10.1038/s41467-023-39197-8
(Li2O)1.2HfCl4,0.0012,-2.920818754,0.329,,25,https://doi.org/10.1038/s41467-023-39197-8
Li2.5 Y0.5 Zr0.5 Cl6,0.0014,-2.853871964,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li2.2 Yb0.2 Hf0.8 Cl6,5.00E-04,-3.301029996,0.33,,30,https://doi.org/10.1016/j.cej.2021.130630
Li1.445 B0.445 S1.335 I0.11,0.000348,-3.458420756,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 Al1 I0.5 O1.5,2.58E-05,-4.588380294,0.33,,25,https://doi.org/10.1039/D2EE03499A
