composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li10.35 Ge1.35 P1.65 S12,0.0144,-1.841637508,0.269,193947.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Si4 O10,1.01E-10,-9.995678626,,194284.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.26 La3 Zr2 Al0.24 O12,0.00031,-3.508638306,0.33,195182.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Br1 O1,1.20E-06,-5.920818754,0.75,200874.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 B1 O2,1.00E-08,-8,0.71,200891.cif,25,https://doi.org/10.1039/D2EE03499A
K0.1 Li0.9 Sb1 O3,1.36E-08,-7.866461092,,200984.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Zr2 P3 O12,1.00E-09,-9,0.76,201935.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 P1 O4,1.00E-10,-10,1.14,20208.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Cr1 Cl4,1.00E-10,-10,1.22,202627.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.025 Si0.025 P0.975 S5 Br1,0.000878,-3.056505484,0.196,234585.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.05 Si0.05 P0.95 S5 Br1,0.000437,-3.359518563,0.173,234586.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.075 Si0.075 P0.925 S5 Br1,0.000873,-3.058985756,0.178,234587.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.1 Si0.1 P0.95 S5 Br1,0.000799,-3.097453221,0.22,234588.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.175 Si0.175 P0.825 S5 Br1,0.000931,-3.031050319,0.142,234591.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.2 Si0.2 P0.8 S5 Br1,0.00169,-2.772113295,0.25,234592.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.225 Si0.225 P0.775 S5 Br1,0.00108,-2.966576245,0.248,234593.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.3 Si0.3 P0.7 S5 Br1,0.00165,-2.782516056,0.236,234595.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.35 Si0.35 P0.65 S5 Br1,0.00234,-2.630784143,0.142,234596.cif,25,https://doi.org/10.1039/D2EE03499A
Li8 Ge1 P4,8.60E-05,-4.065501549,0.394,235185.cif,25,https://doi.org/10.1039/D2EE03499A
Li8 Si1 P4,4.50E-05,-4.346787486,0.404,235186.cif,25,https://doi.org/10.1039/D2EE03499A
Li4.4 Al0.4 Ge0.6 S4,4.33E-05,-4.363512104,0.38,235201.cif,30,10.1021/acs.chemmater.8b03175
Li4.4 Al0.4 Sn0.6 S4,3.60E-06,-5.443697499,0.15,235207.cif,25,https://doi.org/10.1039/D2EE03499A
K1 Na2 Li3 Fe2 Si12 O30,1.00E-10,-10,1.22,235750.cif,25,https://doi.org/10.1039/D2EE03499A
Sr1 Li1 Ta2 O6 F1,1.00E-10,-10,0.604,236010.cif,25,https://doi.org/10.1039/D2EE03499A
Sr0.9 Li1 Nb2 O6 F0.8,1.00E-10,-10,0.709,236011.cif,25,https://doi.org/10.1039/D2EE03499A
Sr0.9 Li1 Ta2 O6 F0.8,1.00E-10,-10,0.76,236012.cif,25,https://doi.org/10.1039/D2EE03499A
Sr1 Li1.1 Zr0.1 Nb1.9 O6 F1,1.00E-10,-10,0.622,236013.cif,25,https://doi.org/10.1039/D2EE03499A
Sr1 Li1.1 Zr0.1 Ta1.9 O6 F1,1.00E-10,-10,0.693,236014.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 La3 Y0.5 Nb1.5 O12,0.000188,-3.725842151,,237141.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.2 La3 Y0.1 Nb1.9 O12,6.39E-05,-4.194499142,,237143.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.4 La3 Y0.2 Nb1.8 O12,6.74E-05,-4.171340103,,237144.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.5 La3 Y0.25 Nb1.75 O12,9.18E-05,-4.037157319,,237145.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.5 La3 Y0.75 Nb1.25 O12,0.000343,-3.46470588,,237146.cif,25,https://doi.org/10.1039/D2EE03499A
Ba0.5 Sr0.5 Li6 La2 Ta2 O12,7.10E-06,-5.148741651,0.45,237199.cif,25,https://doi.org/10.1039/D2EE03499A
Sr1 Li6 La2 Ta2 O12,5.40E-06,-5.26760624,0.45,237200.cif,25,https://doi.org/10.1039/D2EE03499A
Ba1 Li6 La2 Ta2 O12,4.00E-05,-4.397940009,0.4,237201.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Ca1 La2 Ta2 O12,2.20E-06,-5.657577319,0.47,237202.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.5 Si0.5 P1.5 O8,4.49E-07,-6.347753659,0.44,238600.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.6 Si1 P1 O8,1.48E-07,-6.829738285,0.49,238601.cif,25,https://doi.org/10.1039/D2EE03499A
Li7.22 Si1.5 P0.5 O8,1.64E-07,-6.785156152,0.48,238602.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Si1 O4,5.00E-10,-9.301029996,0.55,238603.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 H7 C3 N1 Cl1 O1,0.00016,-3.795880017,0.881,238683.cif,25,https://doi.org/10.1039/D2EE03499A
Ba3 Li1 Zr1 Ta5 Si4 O26,1.00E-10,-10,0.79,239277.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 La1 O2,1.00E-10,-10,0.92,239278.cif,25,https://doi.org/10.1039/D2EE03499A
Sr0.1 Li1 La0.9 O2,6.29E-10,-9.201349355,0.62,239279.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.76 La1 Mg0.08 O2,7.27E-10,-9.138465589,0.66,239280.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.74 La3 Zr1.5 Ta0.5 O12,0.000903,-3.04431225,0.435,239663.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.08 La3 Zr0.39 Ta1.51 O12,0.000103,-3.987162775,0.536,239664.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Y1 B4 H16,1.26E-06,-5.899629455,,239762.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 B1 H4,1.00E-08,-8,,239763.cif,25,https://doi.org/10.1039/D2EE03499A
Li2.5 V2 P3 O12,1.90E-07,-6.721246399,,240269.cif,25,https://doi.org/10.1039/D2EE03499A
Li9 S3 N1,8.30E-07,-6.080921908,0.52,240749.cif,25,https://doi.org/10.1039/D2EE03499A
Li51.2 La24 Zr16 Al1.6 O96,0.000254,-3.595166283,0.36,241475.cif,25,https://doi.org/10.1039/D2EE03499A
Li49.6 La24 Zr14.4 Ta1.6 Al1.6 O96,0.000614,-3.211831629,0.29,241476.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 P2 S6,1.60E-10,-9.795880017,0.48,242170.cif,25,https://doi.org/10.1021/acs.chemmater.6b04175
Li7 La3 Zr2 O12,3.10E-07,-6.508638306,0.67,246816.cif,26.85,"Nature Communications, 10, 5260 (2019)"
Li3 B1 P2 O8,9.60E-12,-11.01772877,0.62,248343.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 P2 O7,1.00E-10,-10,1.617,248414.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 S1 O4,1.40E-14,-13.85387196,1.1,2512.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Sn1 S3,1.50E-05,-4.823908741,0.59,251656.cif,25,https://doi.org/10.1039/D2EE03499A
Li10.35 Si1.35 P1.65 S12,0.0065,-2.187086643,,252037.cif,25,https://doi.org/10.1039/D2EE03499A
Li9.81 Sn0.81 P2.19 S12,0.0055,-2.259637311,,252040.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti1.7 Al0.3 P3 O12,8.02E-07,-6.095825632,,253240.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti1.7 Al0.23 Ga0.07 P3 O12,4.46E-06,-5.350665141,,253241.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Sc0.07 Ti1.7 Al0.23 P3 O12,1.94E-07,-6.71219827,,253242.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Y0.07 Ti1.7 Al0.23 P3 O12,3.84E-08,-7.415668776,,253243.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.45 La0.55 Ti0.9 Al0.1 O3,0.00151,-2.821023053,,254045.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.4 La0.6 Ti0.8 Al0.2 O3,0.000568,-3.245651664,,254046.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.35 La0.65 Ti0.7 Al0.3 O3,0.000161,-3.793174124,,254047.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.3 La0.7 Ti0.6 Al0.4 O3,1.04E-07,-6.982966661,,254048.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ga2 Ge1 S6,3.80E-08,-7.420216403,0.47,254406.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Zn1 P2 O8,1.00E-10,-10,1.3,255464.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Zn1 P2 O8,1.00E-10,-10,1.1,255465.cif,25,https://doi.org/10.1039/D2EE03499A
Li3.7 Zn0.7 Ga0.3 P2 O8,1.00E-10,-10,0.91,255466.cif,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Zn0.5 Ga0.5 P2 O8,1.00E-10,-10,1.02,255468.cif,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.224 Ge0.776 P2 S12,0.0141,-1.850780887,0.276,255748.cif,25,https://doi.org/10.1039/D2EE03499A
