,Unnamed: 0,composition,mp-id,target
916,916,YTa7O19,mp-772036.cif,2.51
917,917,TiBi2O5,mp-755121.cif,2.61
921,921,SN2004,,1.85
922,922,SN2005,,1.84
923,923,SN2006,,1.83
924,924,SN2008,,2.11
925,925,SN2009,,1.97
927,927,SN2019,,1.81
929,929,CF,mp-1214158.cif,1.4145444444444446
930,930,H16C7,,1.38511
932,932,Cu1.5Ge18.5Te80,,3.83
933,933,Cu3Ge17Te80,,3.866
934,934,P2O5,mp-689684.cif,1.5729166666666667
935,935,PCNF,,1.486
937,937,Gd3Sc2(GaO4)3,mp-555835.cif,1.94
939,939,Gd3Sc2Al3O12,mp-1213017.cif,1.89
942,942,GaPO4,mp-677335.cif,1.607
943,943,Ga3PO7,mp-3107.cif,1.788
944,944,AcH27,,1.09
945,945,AcH33,,1.11
946,946,AcH39,,1.1
947,947,As33S67,,2.415
948,948,GeSe19,,1.57
952,952,AsSe,mp-542570.cif,2.717
954,954,Te0.05As0.35Se0.6,,3.01
955,955,Te0.07As0.35Se0.58,,3.15
958,958,Na2MoO4,mp-18852.cif,1.014
959,959,Ge17As18Se65,,2.55
960,960,Ge15Te53As15Se17,,3.246
965,965,Ca9.94Si10N8.14O17.73,,1.72
967,967,Ca9.74Si10N10.78O13.57,,1.92
968,968,Ca12.9Si10N7.98O20.93,,1.74
970,970,Ca11.04Si10N11.89O13.21,,1.95
972,972,Ca12.91Si10N8.36O20.37,,1.75
974,974,Ca5.29Si10N2.46O21.61,,1.62
977,977,Ca11.81Si10N6.5O22.06,,1.74
979,979,Ca6.67Si10N4.8O19.47,,1.69
980,980,SiC2,mp-1019097.cif,1.969
982,982,SiC4,,4.314
983,983,ZrSiO4,mp-4820.cif,1.8133333333333328
985,985,Sb2Se3,mp-672706.cif,3.52
986,986,LiI,mp-570935.cif,1.4321199999999998
989,989,AsSe4,,2.74
992,992,Si2H,,1.59
994,994,H11C6O,,1.652
996,996,Tl3GeSe6,,2.67
997,997,Tl4GeSe5,,2.83
998,998,KI,mp-22898.cif,1.4362727272727271
999,999,InGe4Se45,,2.3
1000,1000,In2(GeSe15)3,,2.51
1001,1001,In3Ge2Se45,,2.59
1002,1002,Ga1Sb0.99N0.01,,3.7
1003,1003,Ga1Sb0.98N0.02,,4.0
1004,1004,Ga1Sb0.97N0.03,,4.2
1006,1006,Ga1Sb0.95N0.05,,4.7
1007,1007,GeTe14Se5,,2.39
1013,1013,Zn2SeO,,3.575
1016,1016,Cd2SeO,,3.89
1018,1018,Ge0.175Te0.825,,5.849999999999999
1021,1021,Zn2In4Te5Se89,,3.33
1022,1022,Zn2In6Te5Se87,,3.58
1024,1024,AlZnP,,1.526
1025,1025,BeSe,mp-1541.cif,3.718715
1028,1028,BaPo,,3.15728
1029,1029,BaS,mp-1500.cif,2.76488
1030,1030,BaTe,mp-2600.cif,2.94284
1031,1031,FeSO4,mp-19254.cif,1.3548984375
1032,1032,SiH3,,2.75
1033,1033,BaP,,1.578
1036,1036,BaPF6,,1.572
1038,1038,BaPF10,,1.57
1039,1039,AsSF,,1.33525
1040,1040,YMgSiN851O,,1.78
1041,1041,YMgSiN855O,,1.71
1042,1042,LuMgSiN851O,,1.7
1044,1044,H8C4O,,1.4412666666666667
1045,1045,SiN10,,1.75
1046,1046,SiN20,,1.81
1047,1047,SiN30,,1.85
1049,1049,SiN50,,2.09
1050,1050,SbO3,mp-1179567.cif,2.0965000000000003
1051,1051,SiCN3,,1.88
